Indicador,Atual,2023,2022,2021,2020,2019,ticker
DÍVIDA LÍQUIDA / EBITDA,140,138,781,397,-21325,879,EMBR3
DÍVIDA LÍQUIDA / EBIT,196,234,-3008,886,-1375,-057,EMBR3
DÍVIDA BRUTA / PATRIMÔNIO,084,104,125,158,165,003,EMBR3
PATRIMÔNIO / ATIVOS,027,026,025,025,026,031,EMBR3
PASSIVOS / ATIVOS,071,072,072,073,072,066,EMBR3
LIQUIDEZ CORRENTE,156,165,179,208,253,134,EMBR3
CAGR RECEITAS 5 ANOS,"24,58%","6,88%","4,62%","1,13%","-0,66%","-6,86%",EMBR3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,EMBR3
P/L,576,858,640,527,-1999,451,RSUL4
P/RECEITA (PSR),087,136,109,145,058,046,RSUL4
P/VP,144,246,299,584,-1396,-2978,RSUL4
DIVIDEND YIELD (DY),-,"3,81%","2,82%","0,00%","0,00%","0,00%",RSUL4
PAYOUT,-,"13,42%","16,42%","0,00%","0,00%","0,00%",RSUL4
MARGEM LÍQUIDA,"15,10%","15,86%","17,00%","27,48%","-2,92%","10,30%",RSUL4
MARGEM BRUTA,"41,56%","43,12%","36,02%","37,27%","37,28%","33,17%",RSUL4
MARGEM EBIT,"22,69%","25,38%","26,20%","21,15%","32,26%","18,00%",RSUL4
MARGEM EBITDA,"24,44%","27,08%","27,68%","22,90%","35,05%","21,15%",RSUL4
EV/EBITDA,111,139,134,252,075,102,RSUL4
EV/EBIT,120,148,141,273,081,119,RSUL4
P/EBITDA,356,502,393,632,167,219,RSUL4
P/EBIT,383,536,415,684,181,258,RSUL4
P/ATIVO,082,130,129,165,048,041,RSUL4
P/CAP.GIRO,260,427,471,909,-121,-327,RSUL4
P/ATIVO CIRC LIQ,-179,-272,-264,-302,-072,-058,RSUL4
VPA,3635,3114,2356,1318,-1347,-431,RSUL4
LPA,912,892,1102,1462,-940,2851,RSUL4
GIRO ATIVOS,095,095,119,114,082,089,RSUL4
ROE,"25,09%","28,64%","46,77%","110,96%","-69,80%","-660,69%",RSUL4
ROIC,"23,56%","29,73%","50,19%","56,63%","1.248,45%","770,54%",RSUL4
ROA,"14,30%","15,14%","20,21%","31,26%","-2,41%","9,14%",RSUL4
DÍVIDA LÍQUIDA / EBITDA,-035,-068,-028,-008,006,011,RSUL4
DÍVIDA LÍQUIDA / EBIT,-038,-072,-029,-009,007,013,RSUL4
DÍVIDA BRUTA / PATRIMÔNIO,006,004,007,018,-159,-228,RSUL4
PATRIMÔNIO / ATIVOS,057,053,043,028,-003,-001,RSUL4
PASSIVOS / ATIVOS,043,047,057,072,103,083,RSUL4
LIQUIDEZ CORRENTE,242,239,217,166,045,070,RSUL4
CAGR RECEITAS 5 ANOS,"16,89%","18,65%","26,29%","24,27%","11,33%","4,32%",RSUL4
CAGR LUCROS 5 ANOS,"26,19%","35,10%","12,74%",-%,-%,"19,68%",RSUL4
P/L,-277,-1366,-1203,-44356,-65590,-25899,RCSL4
P/RECEITA (PSR),142,197,206,1214,3160,4802,RCSL4
P/VP,-450,23833,-2761,-1764,-1394,-1336,RCSL4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",RCSL4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",RCSL4
MARGEM LÍQUIDA,"-51,24%","-14,45%","-17,14%","-2,74%","-4,82%","-18,54%",RCSL4
MARGEM BRUTA,"10,07%","11,17%","12,18%","13,48%","19,74%","23,47%",RCSL4
MARGEM EBIT,"-34,12%","-4,05%","9,60%","1,41%","2,32%","1,29%",RCSL4
MARGEM EBITDA,"-29,98%","-1,70%","11,14%","2,88%","5,90%","-1,71%",RCSL4
EV/EBITDA,-946,-18234,2970,84278,"1.408,88","-2.800,06",RCSL4
EV/EBIT,-831,-7666,3446,"1.726,79","3.583,92","3.733,41",RCSL4
P/EBITDA,-474,-11584,1851,42108,53516,"-2.800,36",RCSL4
P/EBIT,-416,-4870,2148,86277,"1.361,34","3.733,82",RCSL4
P/ATIVO,088,185,263,1092,2046,2308,RCSL4
P/CAP.GIRO,-945,1566,2165,16211,-15979,-1436,RCSL4
P/ATIVO CIRC LIQ,-132,-343,-532,-2260,-3606,-3861,RCSL4
VPA,-030,0003692,-002,-008,-013,-013,RCSL4
LPA,-049,-006,-005,-000,-000,-001,RCSL4
GIRO ATIVOS,062,094,127,090,065,048,RCSL4
ROE,"-162,29%","-1.744,26%","-229,53%","-3,98%","-2,12%","-5,16%",RCSL4
ROIC,"108,06%","-489,36%","-127,15%","-2,05%","-1,03%","-0,36%",RCSL4
ROA,"-28,53%","-8,54%","-21,84%","-2,46%","-3,11%","-8,94%",RCSL4
DÍVIDA LÍQUIDA / EBITDA,-,055,-019,-263,-067,030,RCSL4
DÍVIDA LÍQUIDA / EBIT,-,023,-022,-538,-169,-040,RCSL4
DÍVIDA BRUTA / PATRIMÔNIO,-,000,000,-000,-000,-000,RCSL4
PATRIMÔNIO / ATIVOS,-020,0007752,-010,-062,-147,-173,RCSL4
PASSIVOS / ATIVOS,120,099,110,162,247,402,RCSL4
LIQUIDEZ CORRENTE,078,134,132,115,077,020,RCSL4
CAGR RECEITAS 5 ANOS,"10,32%","66,27%","362,54%","-100,00%","117,13%","55,45%",RCSL4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,RCSL4
P/L,871,1029,803,954,2418,1281,TGMA3
P/RECEITA (PSR),107,118,093,102,176,184,TGMA3
P/VP,230,224,167,152,285,433,TGMA3
DIVIDEND YIELD (DY),"8,72%","5,97%","5,79%","5,33%","1,26%","4,17%",TGMA3
PAYOUT,"75,85%","61,49%","46,47%","50,89%","30,49%","53,45%",TGMA3
MARGEM LÍQUIDA,"12,29%","11,46%","11,62%","10,73%","7,28%","14,40%",TGMA3
MARGEM BRUTA,"20,87%","19,69%","20,04%","18,66%","19,78%","21,29%",TGMA3
MARGEM EBIT,"16,42%","14,31%","14,68%","12,65%","10,49%","18,01%",TGMA3
MARGEM EBITDA,"17,74%","15,84%","15,52%","14,61%","12,19%","19,92%",TGMA3
EV/EBITDA,574,720,585,736,1649,1007,TGMA3
EV/EBIT,620,798,618,850,1915,1114,TGMA3
P/EBITDA,603,744,601,701,1443,926,TGMA3
P/EBIT,651,824,636,810,1676,1024,TGMA3
P/ATIVO,159,156,115,099,173,252,TGMA3
P/CAP.GIRO,462,450,410,359,571,808,TGMA3
P/ATIVO CIRC LIQ,-345,-318,-229,-192,-350,-463,TGMA3
VPA,1351,1265,1161,1030,946,869,TGMA3
LPA,357,275,241,164,112,294,TGMA3
GIRO ATIVOS,149,132,123,096,099,137,TGMA3
ROE,"26,44%","21,72%","20,79%","15,90%","11,79%","33,80%",TGMA3
ROIC,"21,47%","17,17%","16,60%","12,61%","9,41%","21,63%",TGMA3
ROA,"18,37%","15,16%","14,37%","10,32%","7,16%","19,68%",TGMA3
DÍVIDA LÍQUIDA / EBITDA,-029,-024,-016,035,206,081,TGMA3
DÍVIDA LÍQUIDA / EBIT,-031,-027,-017,040,239,090,TGMA3
DÍVIDA BRUTA / PATRIMÔNIO,019,021,020,029,041,038,TGMA3
PATRIMÔNIO / ATIVOS,069,070,069,065,061,058,TGMA3
PASSIVOS / ATIVOS,031,030,031,035,039,029,TGMA3
LIQUIDEZ CORRENTE,280,309,230,231,251,317,TGMA3
CAGR RECEITAS 5 ANOS,"7,34%","4,78%","4,80%","1,74%","-2,05%","-1,32%",TGMA3
CAGR LUCROS 5 ANOS,"4,04%","10,94%","9,00%","50,79%","49,24%",-%,TGMA3
P/L,648,925,693,1763,1348,1910,CSUD3
P/RECEITA (PSR),108,154,092,106,138,118,CSUD3
P/VP,130,191,134,159,216,199,CSUD3
DIVIDEND YIELD (DY),"7,49%","5,95%","6,35%","3,72%","2,02%","2,09%",CSUD3
PAYOUT,"48,88%","73,03%","41,70%","60,74%","22,94%","38,35%",CSUD3
MARGEM LÍQUIDA,"16,66%","16,68%","13,26%","6,02%","10,24%","6,19%",CSUD3
MARGEM BRUTA,"41,44%","39,40%","36,31%","32,30%","29,72%","25,21%",CSUD3
MARGEM EBIT,"23,50%","22,16%","18,84%","17,81%","15,51%","10,29%",CSUD3
MARGEM EBITDA,"34,47%","34,21%","29,94%","29,47%","28,63%","23,89%",CSUD3
EV/EBITDA,312,447,307,374,520,580,CSUD3
EV/EBIT,458,691,487,619,960,1348,CSUD3
P/EBITDA,313,451,307,360,482,495,CSUD3
P/EBIT,459,696,488,596,890,1149,CSUD3
P/ATIVO,089,134,084,096,117,103,CSUD3
P/CAP.GIRO,1750,1721,1925,2243,2883,1471,CSUD3
P/ATIVO CIRC LIQ,-123,-185,-120,-136,-167,-141,CSUD3
VPA,1104,1027,914,820,699,615,CSUD3
LPA,222,212,176,074,112,064,CSUD3
GIRO ATIVOS,083,087,091,090,085,087,CSUD3
ROE,"20,13%","20,59%","19,27%","9,03%","16,01%","10,43%",CSUD3
ROIC,"17,66%","17,89%","16,49%","14,87%","12,28%","9,96%",CSUD3
ROA,"13,79%","14,46%","12,12%","10,63%","8,67%","5,41%",CSUD3
DÍVIDA LÍQUIDA / EBITDA,-001,-004,-000,014,038,086,CSUD3
DÍVIDA LÍQUIDA / EBIT,-001,-006,-001,023,070,200,CSUD3
DÍVIDA BRUTA / PATRIMÔNIO,017,016,022,030,046,046,CSUD3
PATRIMÔNIO / ATIVOS,068,070,063,060,054,052,CSUD3
PASSIVOS / ATIVOS,032,030,037,040,046,040,CSUD3
LIQUIDEZ CORRENTE,123,139,117,117,116,135,CSUD3
CAGR RECEITAS 5 ANOS,"5,15%","4,78%","2,64%","1,99%","-0,29%","1,77%",CSUD3
CAGR LUCROS 5 ANOS,"28,19%","21,94%","10,23%","11,63%","19,73%","19,00%",CSUD3
P/L,-162,-053,069,027,054,-033,MWET4
P/RECEITA (PSR),009,005,007,014,009,007,MWET4
P/VP,-1797,-231,-251,-073,-007,-006,MWET4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",MWET4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",MWET4
MARGEM LÍQUIDA,"-5,71%","-9,49%","10,21%","53,17%","17,01%","-21,83%",MWET4
MARGEM BRUTA,"12,25%","12,71%","15,98%","15,85%","11,17%","8,42%",MWET4
MARGEM EBIT,"3,07%","-4,54%","2,71%","7,54%","31,89%","-7,57%",MWET4
MARGEM EBITDA,"4,79%","-2,91%","4,14%","9,22%","34,89%","-5,06%",MWET4
EV/EBITDA,1059,-1254,757,419,184,-966,MWET4
EV/EBIT,1655,-804,1155,512,201,-646,MWET4
P/EBITDA,193,-171,170,156,026,-141,MWET4
P/EBIT,301,-110,259,191,029,-094,MWET4
P/ATIVO,007,004,008,016,007,007,MWET4
P/CAP.GIRO,-098,1115,387,-408,-017,-011,MWET4
P/ATIVO CIRC LIQ,-012,-007,-013,-025,-010,-010,MWET4
VPA,-068,-281,-398,-2338,-8914,-10124,MWET4
LPA,-751,-1237,1454,6308,1209,-1900,MWET4
GIRO ATIVOS,078,089,109,109,080,103,MWET4
ROE,"-1.109,83%","-439,40%","-364,88%","-269,83%","-13,56%","-18,77%",MWET4
ROIC,"3,03%","-34,81%","-9,02%","189,74%","-27,75%","10,78%",MWET4
ROA,"-4,45%","-8,50%","8,98%","58,00%","13,53%","-22,54%",MWET4
DÍVIDA LÍQUIDA / EBITDA,851,-1023,474,246,088,-819,MWET4
DÍVIDA LÍQUIDA / EBIT,1330,-656,723,301,097,-547,MWET4
DÍVIDA BRUTA / PATRIMÔNIO,-7966,-1384,-715,-117,-025,-038,MWET4
PATRIMÔNIO / ATIVOS,-,-002,-003,-021,-100,-120,MWET4
PASSIVOS / ATIVOS,100,102,104,122,201,221,MWET4
LIQUIDEZ CORRENTE,084,101,105,091,037,025,MWET4
CAGR RECEITAS 5 ANOS,"8,60%","10,46%","19,24%","14,95%","-0,73%","-1,75%",MWET4
CAGR LUCROS 5 ANOS,-,-%,"30,31%",-%,-%,-%,MWET4
P/L,1470,1606,1572,2045,-33931,45977,STBP3
P/RECEITA (PSR),402,379,349,362,489,727,STBP3
P/VP,486,365,322,254,216,523,STBP3
DIVIDEND YIELD (DY),"5,75%","3,69%","8,44%","4,04%","0,33%","0,05%",STBP3
PAYOUT,"294,78%","55,21%","152,37%","46,74%","-113,10%","24,17%",STBP3
MARGEM LÍQUIDA,"27,37%","23,62%","22,23%","17,71%","-1,44%","1,58%",STBP3
MARGEM BRUTA,"56,33%","50,84%","45,39%","39,91%","23,78%","25,71%",STBP3
MARGEM EBIT,"43,01%","36,49%","31,20%","24,56%","6,41%","8,84%",STBP3
MARGEM EBITDA,"51,53%","46,84%","41,93%","36,76%","22,82%","22,79%",STBP3
EV/EBITDA,790,815,799,866,1840,3194,STBP3
EV/EBIT,946,1047,1073,1297,6551,8232,STBP3
P/EBITDA,781,810,833,985,2141,3189,STBP3
P/EBIT,935,1039,1120,1475,7621,8220,STBP3
P/ATIVO,161,172,155,117,107,221,STBP3
P/CAP.GIRO,554,-15905,2729,720,481,-700,STBP3
P/ATIVO CIRC LIQ,-274,-203,-193,-163,-152,-272,STBP3
VPA,266,257,242,253,243,156,STBP3
LPA,088,058,050,031,-002,002,STBP3
GIRO ATIVOS,040,045,044,032,022,030,STBP3
ROE,"33,05%","22,75%","20,52%","12,42%","-0,64%","1,14%",STBP3
ROIC,"17,94%","22,37%","18,61%","11,19%","2,23%","4,27%",STBP3
ROA,"10,94%","10,71%","9,88%","5,72%","-0,32%","0,48%",STBP3
DÍVIDA LÍQUIDA / EBITDA,009,006,-035,-119,-301,005,STBP3
DÍVIDA LÍQUIDA / EBIT,011,007,-046,-178,-1071,013,STBP3
DÍVIDA BRUTA / PATRIMÔNIO,111,019,016,018,021,032,STBP3
PATRIMÔNIO / ATIVOS,033,047,048,046,050,042,STBP3
PASSIVOS / ATIVOS,067,053,052,054,050,101,STBP3
LIQUIDEZ CORRENTE,336,093,141,237,418,037,STBP3
CAGR RECEITAS 5 ANOS,"23,37%","18,30%","18,58%","12,96%","-0,75%","-0,62%",STBP3
CAGR LUCROS 5 ANOS,"118,21%","179,08%","269,68%",-%,-%,"-30,01%",STBP3
P/L,1363,1686,529,3366,14244,2666,CCRO3
P/RECEITA (PSR),099,156,114,191,275,362,CCRO3
P/VP,160,230,191,283,351,471,CCRO3
DIVIDEND YIELD (DY),"3,88%","1,36%","3,51%","1,43%","3,58%","4,02%",CCRO3
PAYOUT,"53,12%","22,99%","18,59%","48,20%","509,47%","107,07%",CCRO3
MARGEM LÍQUIDA,"7,27%","9,26%","21,55%","5,68%","1,93%","13,58%",CCRO3
MARGEM BRUTA,"36,23%","44,26%","58,37%","37,92%","34,64%","42,40%",CCRO3
MARGEM EBIT,"27,88%","33,96%","52,72%","29,75%","20,58%","33,50%",CCRO3
MARGEM EBITDA,"35,06%","41,99%","60,90%","55,50%","45,06%","52,00%",CCRO3
EV/EBITDA,620,677,365,653,918,951,CCRO3
EV/EBIT,779,837,421,1218,2010,1476,CCRO3
P/EBITDA,283,372,187,345,611,696,CCRO3
P/EBIT,356,460,216,643,1337,1081,CCRO3
P/ATIVO,037,052,043,057,081,115,CCRO3
P/CAP.GIRO,348,1140,1178,1138,5400,-343,CCRO3
P/ATIVO CIRC LIQ,-046,-066,-058,-070,-107,-147,CCRO3
VPA,669,617,568,409,383,403,CCRO3
LPA,078,084,205,034,009,071,CCRO3
GIRO ATIVOS,037,034,038,030,030,032,CCRO3
ROE,"11,73%","13,63%","36,05%","8,42%","2,47%","17,67%",CCRO3
ROIC,"10,71%","11,77%","18,07%","7,33%","-1,12%","9,81%",CCRO3
ROA,"3,04%","3,40%","8,33%","1,95%","0,26%","4,29%",CCRO3
DÍVIDA LÍQUIDA / EBITDA,337,305,178,309,307,255,CCRO3
DÍVIDA LÍQUIDA / EBIT,424,377,205,576,673,396,CCRO3
DÍVIDA BRUTA / PATRIMÔNIO,255,246,253,324,257,234,CCRO3
PATRIMÔNIO / ATIVOS,023,023,023,020,023,024,CCRO3
PASSIVOS / ATIVOS,076,076,077,079,076,110,CCRO3
LIQUIDEZ CORRENTE,198,130,117,135,107,039,CCRO3
CAGR RECEITAS 5 ANOS,"15,52%","13,55%","12,68%","4,14%","3,13%","7,44%",CCRO3
CAGR LUCROS 5 ANOS,"4,73%","23,94%","18,76%","-13,23%","-35,76%","1,11%",CCRO3
P/L,361,1152,1261,1386,-2196,-6120,ECOR3
P/RECEITA (PSR),033,074,051,110,233,287,ECOR3
P/VP,091,240,135,235,17807,2678,ECOR3
DIVIDEND YIELD (DY),"4,27%","0,89%","0,17%","0,00%","0,00%","0,00%",ECOR3
PAYOUT,"15,39%","10,26%","2,15%","0,00%","0,00%","0,00%",ECOR3
MARGEM LÍQUIDA,"9,03%","6,44%","4,05%","7,90%","-10,60%","-4,69%",ECOR3
MARGEM BRUTA,"39,80%","36,80%","31,79%","39,55%","41,08%","38,05%",ECOR3
MARGEM EBIT,"34,31%","31,46%","25,45%","33,71%","21,64%","20,13%",ECOR3
MARGEM EBITDA,"43,83%","40,48%","34,91%","48,56%","35,17%","34,48%",ECOR3
EV/EBITDA,432,567,626,668,1266,1469,ECOR3
EV/EBIT,551,729,859,962,2057,2517,ECOR3
P/EBITDA,074,183,146,226,662,833,ECOR3
P/EBIT,095,236,201,325,1075,1426,ECOR3
P/ATIVO,011,025,017,031,084,098,ECOR3
P/CAP.GIRO,-281,-7014,-251,-343,-1211,-675,ECOR3
P/ATIVO CIRC LIQ,-014,-032,-019,-037,-100,-123,ECOR3
VPA,503,393,331,311,008,061,ECOR3
LPA,126,082,035,053,-061,-027,ECOR3
GIRO ATIVOS,034,034,033,028,036,034,ECOR3
ROE,"25,13%","20,80%","10,67%","16,96%","-810,95%","-43,76%",ECOR3
ROIC,"10,83%","10,04%","9,13%","10,55%","4,31%","5,67%",ECOR3
ROA,"3,14%","2,30%","1,29%","2,24%","-3,82%","-1,61%",ECOR3
DÍVIDA LÍQUIDA / EBITDA,357,384,479,442,604,637,ECOR3
DÍVIDA LÍQUIDA / EBIT,456,494,658,637,982,1091,ECOR3
DÍVIDA BRUTA / PATRIMÔNIO,571,663,506,461,16255,2048,ECOR3
PATRIMÔNIO / ATIVOS,012,011,013,013,0004713,004,ECOR3
PASSIVOS / ATIVOS,087,088,086,086,099,096,ECOR3
LIQUIDEZ CORRENTE,083,098,063,064,069,058,ECOR3
CAGR RECEITAS 5 ANOS,"19,76%","22,79%","13,62%","10,46%","6,64%","6,12%",ECOR3
CAGR LUCROS 5 ANOS,-,"9,76%","-9,82%",-%,-%,-%,ECOR3
P/L,-209,-2350,-1505,-757,-1334,"-1.004,89",GOLL4
P/RECEITA (PSR),023,153,155,734,1254,850,GOLL4
P/VP,-018,-124,-110,-259,-580,-1659,GOLL4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",GOLL4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",GOLL4
MARGEM LÍQUIDA,"-10,98%","-6,51%","-10,27%","-96,95%","-93,99%","-0,85%",GOLL4
MARGEM BRUTA,"31,71%","30,87%","20,72%","-15,61%","11,28%","29,27%",GOLL4
MARGEM EBIT,"10,62%","17,79%","3,67%","-51,59%","-14,94%","15,38%",GOLL4
MARGEM EBITDA,"23,09%","29,62%","7,68%","-20,90%","14,43%","15,98%",GOLL4
EV/EBITDA,421,695,2989,-4277,9774,5700,GOLL4
EV/EBIT,915,1158,6267,-1733,-9439,5920,GOLL4
P/EBITDA,100,517,2012,-3511,8689,5321,GOLL4
P/EBIT,217,860,4219,-1422,-8390,5525,GOLL4
P/ATIVO,020,172,139,379,623,770,GOLL4
P/CAP.GIRO,-027,-288,-216,-650,-1117,-2168,GOLL4
P/ATIVO CIRC LIQ,-029,-210,-168,-466,-835,-1136,GOLL4
VPA,-750,-723,-667,-657,-430,-222,GOLL4
LPA,-064,-038,-049,-225,-187,-004,GOLL4
GIRO ATIVOS,085,112,090,052,050,091,GOLL4
ROE,"-8,53%","-5,28%","-7,31%","-34,23%","-43,50%","-1,65%",GOLL4
ROIC,"-36,27%","-24,42%","-5,48%","43,99%","27,15%","147,53%",GOLL4
ROA,"-9,39%","-7,31%","-9,20%","-49,88%","-46,01%","1,17%",GOLL4
DÍVIDA LÍQUIDA / EBITDA,408,179,977,-766,1085,380,GOLL4
DÍVIDA LÍQUIDA / EBIT,886,298,2048,-310,-1048,394,GOLL4
DÍVIDA BRUTA / PATRIMÔNIO,-080,-046,-056,-057,-072,-118,GOLL4
PATRIMÔNIO / ATIVOS,-110,-139,-126,-146,-107,-046,GOLL4
PASSIVOS / ATIVOS,210,239,226,246,207,146,GOLL4
LIQUIDEZ CORRENTE,030,023,022,024,031,048,GOLL4
CAGR RECEITAS 5 ANOS,"6,11%","10,47%","7,52%","-5,51%","-8,21%","6,61%",GOLL4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,GOLL4
P/L,-5133,5913,6704,21883,12010,6221,RAIL3
P/RECEITA (PSR),273,389,351,443,512,683,RAIL3
P/VP,238,272,224,223,238,580,RAIL3
DIVIDEND YIELD (DY),"0,48%","0,29%","0,10%","0,00%","0,00%","0,00%",RAIL3
PAYOUT,"-24,63%","17,01%","6,95%","0,00%","0,00%","0,00%",RAIL3
MARGEM LÍQUIDA,"-5,32%","6,58%","5,23%","2,02%","4,27%","10,98%",RAIL3
MARGEM BRUTA,"44,03%","37,48%","31,97%","28,06%","32,22%","34,98%",RAIL3
MARGEM EBIT,"18,53%","31,77%","30,85%","20,43%","27,97%","29,82%",RAIL3
MARGEM EBITDA,"36,20%","51,66%","50,84%","45,03%","54,66%","54,03%",RAIL3
EV/EBITDA,1014,961,877,1333,1256,1519,RAIL3
EV/EBIT,1980,1563,1446,2940,2454,2753,RAIL3
P/EBITDA,754,753,690,983,937,1264,RAIL3
P/EBIT,1473,1225,1137,2168,1832,2291,RAIL3
P/ATIVO,072,086,075,068,078,147,RAIL3
P/CAP.GIRO,627,892,849,415,586,2531,RAIL3
P/ATIVO CIRC LIQ,-094,-109,-095,-092,-102,-174,RAIL3
VPA,808,845,831,798,808,450,RAIL3
LPA,-038,039,028,008,016,042,RAIL3
GIRO ATIVOS,026,022,021,015,015,022,RAIL3
ROE,"-4,64%","4,59%","3,34%","1,02%","1,98%","9,33%",RAIL3
ROIC,"5,07%","9,46%","8,84%","4,21%","5,10%","9,89%",RAIL3
ROA,"-1,38%","1,47%","1,12%","0,32%","0,66%","2,39%",RAIL3
DÍVIDA LÍQUIDA / EBITDA,260,208,187,350,319,255,RAIL3
DÍVIDA LÍQUIDA / EBIT,508,338,309,772,623,462,RAIL3
DÍVIDA BRUTA / PATRIMÔNIO,130,121,109,143,133,140,RAIL3
PATRIMÔNIO / ATIVOS,030,032,034,031,033,025,RAIL3
PASSIVOS / ATIVOS,070,068,066,069,067,074,RAIL3
LIQUIDEZ CORRENTE,196,187,171,279,225,163,RAIL3
CAGR RECEITAS 5 ANOS,"13,05%","10,68%","10,60%","11,53%","10,92%","14,09%",RAIL3
CAGR LUCROS 5 ANOS,-,"21,47%",-%,-%,-%,-%,RAIL3
P/L,-111,-851,-1928,-731,-459,-3067,AZUL4
P/RECEITA (PSR),028,109,087,309,865,644,AZUL4
P/VP,-020,-095,-073,-168,-351,-2094,AZUL4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",AZUL4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",AZUL4
MARGEM LÍQUIDA,"-25,37%","-12,83%","-4,53%","-42,23%","-188,63%","-21,00%",AZUL4
MARGEM BRUTA,"24,34%","18,20%","17,47%","18,56%","4,97%","0,66%",AZUL4
MARGEM EBIT,"14,77%","8,95%","8,96%","0,55%","-24,36%","-10,45%",AZUL4
MARGEM EBITDA,"27,67%","21,91%","13,37%","15,62%","7,08%","21,63%",AZUL4
EV/EBITDA,586,1063,1742,3379,13282,2979,AZUL4
EV/EBIT,1099,2602,2598,96081,-3859,-6169,AZUL4
P/EBITDA,102,498,653,1978,12225,2977,AZUL4
P/EBIT,191,1219,974,56230,-3552,-6166,AZUL4
P/ATIVO,023,099,074,166,315,384,AZUL4
P/CAP.GIRO,-040,-209,-137,-525,-1036,-2707,AZUL4
P/ATIVO CIRC LIQ,-029,-131,-101,-243,-479,-489,AZUL4
VPA,-2059,-1686,-1503,-1450,-1119,-278,AZUL4
LPA,-379,-188,-057,-333,-857,-190,AZUL4
GIRO ATIVOS,081,090,085,054,036,060,AZUL4
ROE,"-18,40%","-11,16%","-3,80%","-22,98%","-76,57%","-68,29%",AZUL4
ROIC,"64,38%","45,76%","33,94%","0,83%","24,17%","38,13%",AZUL4
ROA,"-20,47%","-11,59%","-3,86%","-22,73%","-68,60%","-12,52%",AZUL4
DÍVIDA LÍQUIDA / EBITDA,559,565,1089,1402,1057,001,AZUL4
DÍVIDA LÍQUIDA / EBIT,1048,1383,1624,39851,-307,-003,AZUL4
DÍVIDA BRUTA / PATRIMÔNIO,-117,-117,-122,-136,-052,-001,AZUL4
PATRIMÔNIO / ATIVOS,-111,-104,-102,-099,-090,-018,AZUL4
PASSIVOS / ATIVOS,211,204,202,199,190,118,AZUL4
LIQUIDEZ CORRENTE,027,034,032,050,053,060,AZUL4
CAGR RECEITAS 5 ANOS,"10,54%","15,24%","15,41%","8,38%",-%,-%,AZUL4
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,AZUL4
P/L,1514,1924,1454,1898,000,000,PORT3
P/RECEITA (PSR),263,317,209,191,000,000,PORT3
P/VP,277,326,203,174,000,000,PORT3
DIVIDEND YIELD (DY),"6,49%","3,63%","4,14%","5,29%","0,00%","0,00%",PORT3
PAYOUT,"98,50%","69,79%","60,13%","100,35%","192,97%","0,00%",PORT3
MARGEM LÍQUIDA,"17,37%","16,45%","14,40%","10,06%","6,19%","7,22%",PORT3
MARGEM BRUTA,"46,73%","45,30%","44,81%","47,29%","51,66%","43,14%",PORT3
MARGEM EBIT,"30,76%","27,56%","26,68%","24,72%","21,81%","18,43%",PORT3
MARGEM EBITDA,"41,79%","39,39%","37,50%","38,66%","36,13%","31,66%",PORT3
EV/EBITDA,835,1057,845,766,319,359,PORT3
EV/EBIT,1134,1511,1187,1197,528,616,PORT3
P/EBITDA,629,803,558,494,000,000,PORT3
P/EBIT,855,1149,785,772,000,000,PORT3
P/ATIVO,116,133,083,071,000,000,PORT3
P/CAP.GIRO,38641,11110,7134,2858,000,000,PORT3
P/ATIVO CIRC LIQ,-139,-159,-098,-085,000,000,PORT3
VPA,594,535,534,3207,3047,2731,PORT3
LPA,108,091,074,293,153,158,PORT3
GIRO ATIVOS,044,042,040,037,034,035,PORT3
ROE,"18,27%","16,96%","13,93%","9,15%","5,03%","5,78%",PORT3
ROIC,"11,70%","10,60%","9,30%","7,61%","5,43%","5,08%",PORT3
ROA,"7,72%","7,02%","5,91%","3,92%","2,18%","2,62%",PORT3
DÍVIDA LÍQUIDA / EBITDA,206,253,287,272,319,359,PORT3
DÍVIDA LÍQUIDA / EBIT,279,362,403,425,528,616,PORT3
DÍVIDA BRUTA / PATRIMÔNIO,103,113,115,111,116,106,PORT3
PATRIMÔNIO / ATIVOS,042,041,041,041,041,043,PORT3
PASSIVOS / ATIVOS,058,059,059,059,059,094,PORT3
LIQUIDEZ CORRENTE,102,108,108,119,145,032,PORT3
CAGR RECEITAS 5 ANOS,"11,39%","7,67%","7,48%","6,17%","1,54%","1,52%",PORT3
CAGR LUCROS 5 ANOS,"31,67%","19,73%","7,68%","-5,23%","1,60%","4,05%",PORT3
P/L,699,1014,813,796,1716,000,JSLG3
